Ativos
"""MTRE3"","
"""MULT3"","
"""MULT3F"","
"""MYPK3"","
"""MYPK3F"","
"""NEMO3"","
"""NEMO5"","
"""NEMO5F"","
"""NEMO6"","
"""NEOE3"","
"""NFLX34"","
"""NFLX34F "","
"""NIKE34"","
"""NIKE34F"","
"""NTCO3"","
"""NTCO3F"","
"""ODPV3"","
"""ODPV3F"","
"""OFSA3"","
"""OFSA3F"","
"""OIBR"","
"""OIBR4"","
"""OIBR4F"","
"""ORCL34"","
"""ORCL34F "","
"""OSXB3"","
"""OSXB3F"","
"""PARD3"","
"""PCAR3"","
"""PCAR3F"","
"""PCAR4F"","
"""PDGR3"","
"""PDGR3F"","
"""PEPB34"","
"""PEPB34F "","
"""PETR3"","
"""PETR3F"","
"""PETR4"","
"""PETR4F"","
"""PFIZ34"","
"""PFIZ34F "","
"""PGCO34"","
"""PGCO34F"","
"""PMAM3"","
"""PMAM3F"","
"""PNVL3"","
"""PNVL3F"","
"""PNVL4"","
"""PNVL4F"","
"""POMO3"","
"""POMO3F"","
"""POMO4"","
"""POMO4F"","
"""POSI3"","
"""POSI3F"","
"""PRIO3"","
"""PRIO3F"","
"""PSSA3"","
"""PSSA3F"","
"""PTBL3F"","
"""QCOM34"","
"""QCOM34F"","
"""QUAL3"","
"""QUAL3F"","
"""RADL3"","
"""RADL3F"","
"""RAIL3"","
"""RAIL3F"","
"""RANI3"","
"""RANI3F "","
"""RANI4"","
"""RANI4F "","
"""RAPT3"","
"""RAPT3F"","
"""RAPT4"","
"""RAPT4F"","
"""RDNI3"","
"""RDNI3F"","
"""RENT3"","
"""RENT3F"","
"""RIVA3"","
"""RLOG3"","
"""RLOG3F"","
"""RNEW11"","
"""RNEW11F"","
"""RNEW11F"","
"""RNEW3"","
"""RNEW4"","
"""RNEW4F"","
"""RPMG3"","
"""RPMG3F"","
"""RSID3"","
"""RSID3F"","
"""SANB11"","
"""SANB11F"","
"""SANB3"","
"""SANB3F"","
"""SANB4"","
"""SANB4F"","
"""SAPR11"","
"""SAPR11F"","
"""SAPR3"","
"""SAPR3F"","
"""SAPR4"","
"""SAPR4F"","
"""SBSP3"","
"""SBSP3F"","
"""SBUB34"","
"""SBUB34F "","
"""SCAR3"","
"""SCAR3F"","
"""SEER3"","
"""SHUL3"","
"""SHUL4"","
"""SHUL4F"","
"""SLBG34"","
"""SLBG34F "","
"""SLED3"","
"""SLED3F"","
"""SLED4"","
"""SLED4F"","
"""SMLS3"","
"""SMLS3F"","
"""SMTO3"","
"""SMTO3F"","
"""SOMA3"","
"""STBP3"","
"""STBP3F"","
"""SUZB3"","
"""SUZB3F"","
"""TAEE11"","
"""TAEE3"","
"""TAEE4"","
"""TASA3"","
"""TASA3F"","
"""TASA4"","
"""TASA4F"","
"""TCSA3"","
"""TCSA3F"","
"""TELB3"","
"""TELB3F"","
"""TELB4"","
"""TELB4F"","
"""TIET11"","
"""TIET11F"","
"""TIET3"","
"""TIET3F"","
"""TIET4"","
"""TIET4F"","
"""TIMP3"","
"""TIMP3F"","
"""TOTS3"","
"""TOTS3F "","
"""TPIS3"","
"""TPIS3F"","
"""TRPL3"","
"""TRPL3F"","
"""TRPL4"","
"""TRPL4F"","
"""TSNF34F"","
"""TWTR34"","
"""TWTR34F"","
"""TXSA34"","
"""TXSA34F"","
"""U1AI34"","
"""U1AI34F"","
"""U1AL34"","
"""U1AL34F"","
"""U1BE34"","
"""U1BE34F"","
"""U1DR34"","
"""U1DR34F"","
"""U1HS34"","
"""U1HS34F"","
"""U1LT34"","
"""U1LT34F"","
"""U1NM34"","
"""U1NM34F"","
"""U1RI34"","
"""U1RI34F"","
"""UBSG34"","
"""UBSG34F"","
"""UGPA3"","
"""UGPA3F"","
"""ULEV34"","
"""ULEV34F"","
"""UNHH34"","
"""UNHH34F"","
"""UNIP3"","
"""UNIP3F"","
"""UNIP5"","
"""UNIP5F"","
"""UNIP6"","
"""UNIP6F"","
"""UPAC34"","
"""UPAC34F"","
"""UPSS34"","
"""UPSS34F "","
"""USBC34"","
"""USBC34F"","
"""USIM3"","
"""USIM5"","
"""USIM6"","
"""USSX34F"","
"""V1AR34"","
"""V1AR34F"","
"""V1MC34"","
"""V1MC34F"","
"""V1NO34"","
"""V1NO34F"","
"""V1RS34"","
"""V1RS34F"","
"""V1TA34"","
"""V1TA34F"","
"""VALE3"","
"""VALE5"","
"""VERZ34"","
